,API_UserName,obs_date,OpDiv,observations,curr_date
13.248.169.48,50189120947314147395,2025-04-17,NIH,94231,2025-04-17
13.248.213.45,50189120947314147395,2025-04-17,NIH,6290,2025-04-17
13.248.243.5,50189120947314147395,2025-04-17,NIH,2434,2025-04-17
141.193.213.20,50189120947314147395,2025-04-17,NIH,7896,2025-04-17
141.193.213.21,50189120947314147395,2025-04-17,NIH,8489,2025-04-17
149.88.17.138,50189120947314147395,2025-04-17,NIH,6,2025-04-17
15.197.130.221,50189120947314147395,2025-04-17,NIH,1220,2025-04-17
15.197.142.173,50189120947314147395,2025-04-17,NIH,850,2025-04-17
15.197.148.33,50189120947314147395,2025-04-17,NIH,10129,2025-04-17
15.197.225.128,50189120947314147395,2025-04-17,NIH,9368,2025-04-17
15.197.240.20,50189120947314147395,2025-04-17,NIH,423,2025-04-17
151.101.130.133,50189120947314147395,2025-04-17,NIH,43313,2025-04-17
151.101.194.133,50189120947314147395,2025-04-17,NIH,45471,2025-04-17
151.101.2.133,50189120947314147395,2025-04-17,NIH,45394,2025-04-17
151.101.66.133,50189120947314147395,2025-04-17,NIH,44699,2025-04-17
156.146.63.133,50189120947314147395,2025-04-17,NIH,9,2025-04-17
